iter	Passed	Remaining
0	145	144901
1	145	72553
2	145	48424
3	146	36360
4	146	29121
5	146	24290
6	146	20838
7	147	18252
8	147	16239
9	147	14627
10	148	13309
11	148	12210
12	148	11280
13	148	10483
14	149	9793
15	149	9189
16	149	8656
17	149	8183
18	150	7759
19	150	7377
20	150	7032
21	151	6719
22	151	6432
23	151	6170
24	152	5929
25	152	5706
26	152	5499
27	152	5308
28	153	5130
29	153	4963
30	153	4807
31	154	4661
32	154	4524
33	154	4395
34	154	4273
35	155	4158
36	155	4049
37	155	3946
38	156	3849
39	156	3756
40	156	3667
41	157	3583
42	157	3503
43	157	3426
44	157	3352
45	158	3282
46	158	3215
47	158	3151
48	159	3089
49	159	3030
50	159	2973
51	160	2918
52	160	2865
53	160	2815
54	160	2766
55	161	2718
56	161	2673
57	161	2629
58	162	2586
59	162	2545
60	162	2505
61	163	2467
62	163	2429
63	163	2393
64	163	2358
65	164	2324
66	164	2291
67	164	2257
68	164	2225
69	165	2195
70	165	2166
71	165	2137
72	166	2110
73	166	2082
74	166	2056
75	167	2030
76	167	2005
77	167	1980
78	167	1956
79	168	1933
80	168	1910
81	168	1888
82	169	1867
83	169	1846
84	169	1824
85	169	1804
86	169	1784
87	170	1764
88	170	1746
89	170	1727
90	171	1710
91	171	1692
92	171	1675
93	172	1658
94	172	1641
95	172	1625
96	172	1610
97	173	1594
98	173	1579
99	173	1564
100	174	1550
101	174	1535
102	174	1521
103	174	1507
104	175	1493
105	175	1480
106	175	1467
107	176	1454
108	176	1441
109	176	1429
110	176	1416
111	177	1404
112	177	1393
113	177	1381
114	178	1370
115	178	1358
116	178	1347
117	178	1337
118	179	1326
119	179	1315
120	179	1305
121	180	1295
122	180	1284
123	180	1275
124	180	1265
125	181	1256
126	181	1246
127	181	1236
128	181	1227
129	182	1218
130	182	1210
131	182	1201
132	182	1192
133	183	1184
134	183	1176
135	183	1168
136	184	1160
137	184	1151
138	184	1144
139	184	1136
140	185	1128
141	185	1121
142	185	1113
143	186	1106
144	186	1099
145	186	1092
146	186	1085
147	187	1078
148	187	1071
149	187	1064
150	188	1057
